m_id,m_name,m_mail,m_password,is_active
39,qdeelndo,qdeelndo@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
40,oeaovemn,oeaovemn@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,False
41,cdzlnajy,cdzlnajy@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
42,jiotsgdi,jiotsgdi@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
43,furakgrp,furakgrp@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
44,zmnaqpuv,zmnaqpuv@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
45,qtrjaxkn,qtrjaxkn@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
46,divdwdeh,divdwdeh@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,False
47,oapfgnbx,oapfgnbx@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
48,dpdnkapp,dpdnkapp@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
49,negkibdu,negkibdu@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
50,ndprfgqp,ndprfgqp@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
51,zopvdsdq,zopvdsdq@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
52,myvmqajs,myvmqajs@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
53,psswsgql,psswsgql@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
54,javhemwy,javhemwy@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
55,sxljeyxf,sxljeyxf@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
56,xdfcjxcj,xdfcjxcj@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,False
57,qnwojxnd,qnwojxnd@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
58,zegkotqb,zegkotqb@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
59,gqseumef,gqseumef@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
60,cuicsuvp,cuicsuvp@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
61,drnnbizv,drnnbizv@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
62,urqsecuv,urqsecuv@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
63,hayojgsf,hayojgsf@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
64,cqlqguhs,cqlqguhs@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
65,sqwtxavp,sqwtxavp@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
66,vwdylcdj,vwdylcdj@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
67,tquauihk,tquauihk@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
68,mexhewzg,mexhewzg@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
69,xiipkxzc,xiipkxzc@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
70,ofbnfbkh,ofbnfbkh@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
71,hywbjmrn,hywbjmrn@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
72,bxrhdibj,bxrhdibj@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
73,ktpbszar,ktpbszar@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,False
74,kerzmmxw,kerzmmxw@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,False
75,croyyitw,croyyitw@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
76,apfpsdhp,apfpsdhp@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,False
77,tdqnpqzo,tdqnpqzo@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
78,npzkfskw,npzkfskw@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
79,jqzgvivq,jqzgvivq@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
80,gwtlprgb,gwtlprgb@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
81,ozysbrcf,ozysbrcf@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
82,npbefvnm,npbefvnm@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
83,vugayztv,vugayztv@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
84,fdzpsweu,fdzpsweu@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
85,plzofytw,plzofytw@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
86,cbbitpjn,cbbitpjn@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,False
87,kvyzgpce,kvyzgpce@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,False
88,aetpzhai,aetpzhai@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,False
89,qrjfqfji,qrjfqfji@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
90,dggtgkxc,dggtgkxc@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
91,sdhaeoze,sdhaeoze@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
92,einlnrik,einlnrik@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,False
93,acaoiwvt,acaoiwvt@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
94,dxmsxwaz,dxmsxwaz@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
95,wbhiupzb,wbhiupzb@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
96,cncsmayd,cncsmayd@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
97,qpquzcvp,qpquzcvp@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
98,axpqefbv,axpqefbv@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
99,eooimsen,eooimsen@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,False
100,xztflbro,xztflbro@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
101,cxspjdlf,cxspjdlf@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
102,hvlpexmr,hvlpexmr@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
103,hneavusb,hneavusb@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
104,wlbyqslo,wlbyqslo@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
105,uajjckry,uajjckry@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
106,tyjspaao,tyjspaao@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
107,ukksrrnf,ukksrrnf@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
108,fpqqtwbx,fpqqtwbx@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
109,evmohens,evmohens@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
110,jipnrwze,jipnrwze@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
111,juawryeh,juawryeh@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
112,eajkrrpa,eajkrrpa@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
113,hrfqbztc,hrfqbztc@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
114,pdjsmeag,pdjsmeag@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
115,ueqstwlx,ueqstwlx@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
116,cojqhrsz,cojqhrsz@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,False
117,hjapargi,hjapargi@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,False
118,ixhybime,ixhybime@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
119,gnwflwil,gnwflwil@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
120,snntupxv,snntupxv@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
121,wdkeqqes,wdkeqqes@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
122,xyqkbztl,xyqkbztl@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,False
123,ipqhrjev,ipqhrjev@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
124,vtjuzkcv,vtjuzkcv@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
125,gypoidhm,gypoidhm@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
126,ihvshatk,ihvshatk@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
127,jfgexkhy,jfgexkhy@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
128,ozghugoc,ozghugoc@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
129,duqcbzxq,duqcbzxq@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,False
130,kabmnrzf,kabmnrzf@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
131,hhfiynqx,hhfiynqx@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
132,yfpkedvz,yfpkedvz@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
133,jfqkfpny,jfqkfpny@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,False
134,zojbcmlv,zojbcmlv@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
135,qbcvwzjf,qbcvwzjf@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
136,mhvnpfvf,mhvnpfvf@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
137,qkswuzoy,qkswuzoy@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
